Departament,semester,code,name,cred,class,vacancies,occupied,day,start,length,prof,campus,building,room
DELAE,2025 - I,ENG10042,SISTEMAS DIGITAIS - A,4,U,35,16,Ter,7:30,2,MARCELO GOTZ,centro,Prédio Branco,063
DELAE,2025 - I,ENG10042,SISTEMAS DIGITAIS - A,4,U,35,16,Qui,7:30,2,MARCELO GOTZ,centro,Prédio Branco,063
DELAE,2025 - I,ENG10017,SISTEMAS E SINAIS,6,A,21,20,Seg,8:30,2,LUCIOLA CAMPESTRINI,centro,Prédio Branco,054
DELAE,2025 - I,ENG10017,SISTEMAS E SINAIS,6,A,21,20,Qua,8:30,2,LUCIOLA CAMPESTRINI,centro,Prédio Branco,054
DELAE,2025 - I,ENG10017,SISTEMAS E SINAIS,6,A,21,20,Sex,8:30,2,LUCIOLA CAMPESTRINI,centro,Eletro,301
DELAE,2025 - I,ENG10017,SISTEMAS E SINAIS,6,C,21,17,Seg,15:30,2,AURÉLIO TERGOLINA SALTON,centro,Prédio Branco,041
DELAE,2025 - I,ENG10017,SISTEMAS E SINAIS,6,C,21,17,Qua,15:30,2,AURÉLIO TERGOLINA SALTON,centro,Prédio Branco,041
DELAE,2025 - I,ENG10017,SISTEMAS E SINAIS,6,C,21,17,Sex,15:30,2,AURÉLIO TERGOLINA SALTON,centro,Eletro,301
DELAE,2025 - I,ENG10017,SISTEMAS E SINAIS,6,D3,21,19,Seg,15:30,2,AURÉLIO TERGOLINA SALTON,centro,Prédio Branco,041
DELAE,2025 - I,ENG10017,SISTEMAS E SINAIS,6,D3,21,19,Qua,15:30,2,AURÉLIO TERGOLINA SALTON,centro,Prédio Branco,041
DELAE,2025 - I,ENG10017,SISTEMAS E SINAIS,6,D3,21,19,Sex,13:30,2,AURÉLIO TERGOLINA SALTON,centro,Eletro,301
DELET,2025 - I,ENG04032,ANÁLISE DE CIRCUITOS III,6,A,8,8,Seg,8:30,2,ROBERTO PETRY HOMRICH,centro,Eletro,304
DELET,2025 - I,ENG04032,ANÁLISE DE CIRCUITOS III,6,A,8,8,Qua,8:30,2,ROBERTO PETRY HOMRICH,centro,Eletro,304
