Departament,semester,Atividades de Ensino.1,Atividades de Ensino.2,Créditos,Turmas,Vagas Oferecidas,Horários Locais.1,Horários Locais.2.1,Horários Locais.2.2,Professores
DELAE,2019 - I,ENG10040,SISTEMAS DE TRANSMISSÃO DE ENERGIA ELÉTRICA,4,U,21,Seg,10:30,2,FLAVIO ANTONIO BECON LEMOS
DELAE,2019 - I,ENG10040,SISTEMAS DE TRANSMISSÃO DE ENERGIA ELÉTRICA,4,U,21,centro,Eletro,305,FLAVIO ANTONIO BECON LEMOS
DELAE,2019 - I,ENG10040,SISTEMAS DE TRANSMISSÃO DE ENERGIA ELÉTRICA,4,U,21,Qua,10:30,2,FLAVIO ANTONIO BECON LEMOS
DELAE,2019 - I,ENG10040,SISTEMAS DE TRANSMISSÃO DE ENERGIA ELÉTRICA,4,U,21,centro,Eletro,305,FLAVIO ANTONIO BECON LEMOS
DELAE,2019 - I,ENG10042,SISTEMAS DIGITAIS - A,4,U,50,Ter,8:30,2,MARCELO GOTZ
DELAE,2019 - I,ENG10042,SISTEMAS DIGITAIS - A,4,U,50,centro,11209,042,MARCELO GOTZ
DELAE,2019 - I,ENG10042,SISTEMAS DIGITAIS - A,4,U,50,Qui,8:30,2,MARCELO GOTZ
DELAE,2019 - I,ENG10042,SISTEMAS DIGITAIS - A,4,U,50,centro,11209,042,MARCELO GOTZ
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,A3,23,Ter,8:30,2,LUCIOLA CAMPESTRINI
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,A3,23,centro,11209,043,LUCIOLA CAMPESTRINI
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,A3,23,Qui,8:30,2,LUCIOLA CAMPESTRINI
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,A3,23,centro,11209,032,LUCIOLA CAMPESTRINI
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,A3,23,Sex,8:30,2,AURÉLIO TERGOLINA SALTON
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,A3,23,centro,Eletro,301,AURÉLIO TERGOLINA SALTON
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,B3,24,Ter,8:30,2,LUCIOLA CAMPESTRINI
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,B3,24,centro,11209,043,LUCIOLA CAMPESTRINI
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,B3,24,Qui,8:30,2,LUCIOLA CAMPESTRINI
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,B3,24,centro,11209,032,LUCIOLA CAMPESTRINI
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,B3,24,Sex,10:30,2,THALES EXENBERGER BECKER
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,B3,24,centro,Eletro,301,THALES EXENBERGER BECKER
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,C,23,Seg,16:30,2,AURÉLIO TERGOLINA SALTON
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,C,23,centro,Eletro,303,AURÉLIO TERGOLINA SALTON
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,C,23,Qua,16:30,2,AURÉLIO TERGOLINA SALTON
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,C,23,centro,Eletro,303,AURÉLIO TERGOLINA SALTON
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,C,23,Sex,13:30,2,THALES EXENBERGER BECKER
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,C,23,centro,Eletro,301,THALES EXENBERGER BECKER
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,D,21,Seg,16:30,2,AURÉLIO TERGOLINA SALTON
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,D,21,centro,Eletro,303,AURÉLIO TERGOLINA SALTON
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,D,21,Qua,16:30,2,AURÉLIO TERGOLINA SALTON
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,D,21,centro,Eletro,303,AURÉLIO TERGOLINA SALTON
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,D,21,Sex,15:30,2,THALES EXENBERGER BECKER
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,D,21,centro,Eletro,301,THALES EXENBERGER BECKER
DELAE,2019 - II,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,A,45,Seg,15:30,2 ,MARIANA RESENER
DELAE,2019 - II,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,A,45,centro,11209,034,MARIANA RESENER
DELAE,2019 - II,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,A,45,Qua,15:30,2 ,MARIANA RESENER
DELAE,2019 - II,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,A,45,centro,11209,042,MARIANA RESENER
DELAE,2019 - II,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,B,45,Ter,15:30,2 ,TRISTAO JULIO GARCIA DOS SANTOS
DELAE,2019 - II,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,B,45,centro,Eletro,304,TRISTAO JULIO GARCIA DOS SANTOS
DELAE,2019 - II,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,B,45,Qui,15:30,2 ,TRISTAO JULIO GARCIA DOS SANTOS
DELAE,2019 - II,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,B,45,centro,Eletro,304,TRISTAO JULIO GARCIA DOS SANTOS
DELAE,2019 - II,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,A,40,Ter,17:30,2 ,TRISTAO JULIO GARCIA DOS SANTOS
DELAE,2019 - II,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,A,40,centro,Eletro,304,TRISTAO JULIO GARCIA DOS SANTOS
DELAE,2019 - II,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,A,40,Qui,17:30,2 ,TRISTAO JULIO GARCIA DOS SANTOS
DELAE,2019 - II,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,A,40,centro,Eletro,304,TRISTAO JULIO GARCIA DOS SANTOS
DELAE,2019 - II,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,B,40,Seg,13:30,2 ,AURÉLIO TERGOLINA SALTON
DELAE,2019 - II,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,B,40,centro,11209,034,AURÉLIO TERGOLINA SALTON
DELAE,2019 - II,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,B,40,Qua,13:30,2 ,AURÉLIO TERGOLINA SALTON
DELAE,2019 - II,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,B,40,centro,11209,034,AURÉLIO TERGOLINA SALTON
DELAE,2019 - II,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,A,40,Seg,10:30,2 ,ALCEU HEINKE FRIGERI
DELAE,2019 - II,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,A,40,centro,Eletro,306,ALCEU HEINKE FRIGERI
DELAE,2019 - II,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,A,40,Qua,10:30,2 ,ALCEU HEINKE FRIGERI
DELAE,2019 - II,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,A,40,centro,Eletro,306,ALCEU HEINKE FRIGERI
DELAE,2019 - II,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,B,40,Ter,15:30,2 ,THALES EXENBERGER BECKER
DELAE,2019 - II,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,B,40,centro,Eletro,306,THALES EXENBERGER BECKER
DELAE,2019 - II,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,B,40,Qui,15:30,2 ,THALES EXENBERGER BECKER
DELAE,2019 - II,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,B,40,centro,Eletro,306,THALES EXENBERGER BECKER
DELAE,2019 - II,ENG10047,FUNDAMENTOS DE MÁQUINAS ELÉTRICAS,4,T,25,Seg,15:30,2 ,LUÍS ALBERTO PEREIRA
DELAE,2019 - II,ENG10047,FUNDAMENTOS DE MÁQUINAS ELÉTRICAS,4,T,25,centro,Eletro,306,LUÍS ALBERTO PEREIRA
DELAE,2019 - II,ENG10047,FUNDAMENTOS DE MÁQUINAS ELÉTRICAS,4,T,25,Qua,15:30,2 ,LUÍS ALBERTO PEREIRA
DELAE,2019 - II,ENG10047,FUNDAMENTOS DE MÁQUINAS ELÉTRICAS,4,T,25,centro,Eletro,306,LUÍS ALBERTO PEREIRA
DELAE,2019 - II,ENG10022,INSTRUMENTAÇÃO FUNDAMENTAL PARA CONTROLE E AUTOMAÇÃO,4,U,30,Ter,13:30,2 ,VALNER JOAO BRUSAMARELLO
DELAE,2019 - II,ENG10022,INSTRUMENTAÇÃO FUNDAMENTAL PARA CONTROLE E AUTOMAÇÃO,4,U,30,centro,Eletro,306,VALNER JOAO BRUSAMARELLO
DELAE,2019 - II,ENG10022,INSTRUMENTAÇÃO FUNDAMENTAL PARA CONTROLE E AUTOMAÇÃO,4,U,30,Qui,13:30,2 ,VALNER JOAO BRUSAMARELLO
DELAE,2019 - II,ENG10022,INSTRUMENTAÇÃO FUNDAMENTAL PARA CONTROLE E AUTOMAÇÃO,4,U,30,centro,Eletro,306,VALNER JOAO BRUSAMARELLO
DELAE,2019 - II,ENG10031,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,2,U,6,Ter,15:30,2 ,RENATO VENTURA BAYAN HENRIQUES
DELAE,2019 - II,ENG10031,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,2,U,6,undef,undef,undef,RENATO VENTURA BAYAN HENRIQUES
DELAE,2019 - II,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,A,17,Sex,8:30,2 ,MARIANA RESENER
DELAE,2019 - II,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,A,17,centro,Eletro,200,MARIANA RESENER
DELAE,2019 - II,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,B,17,Sex,10:30,2 ,MARIANA RESENER
DELAE,2019 - II,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,B,17,centro,Eletro,200,MARIANA RESENER
DELAE,2019 - II,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,A,16,Seg,10:30,2 ,RENATO VENTURA BAYAN HENRIQUES
DELAE,2019 - II,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,A,16,centro,Eletro,200,RENATO VENTURA BAYAN HENRIQUES
